"text","usa","ID"
"RT @BenBergquam: Joe Biden’s Christmas present to America from Roma Texas. #BidenBorderInvasion 
@RealAmVoice https://t.co/s518ng9Nfe","yes",80
"@donlemon @ananavarro @ScottJenningsKY @DonLemonTonight @CNN ""The white liberal is the worst enemy to America, and the worst enemy to the black man"" Malcolm X","yes",81
"RT @PabloIglesias: La política exterior española hacia  América Latina. Mi análisis en @C5N 👇🏻 https://t.co/plYiNcrFst","yes",82
"RT @LosMasGrandesMX: ¡Otro intercambio! 🔄🔥

Al parecer América podría intercambiar a Nico Benedetti al Puebla para traer a Israel Reyes par…","yes",83
"RT @JakeEvansGA: Congress desperately needs fighters who will stand up and take on the establishment!

I am running to flip GA-6 from BLUE…","yes",84
"RT @ggreenwald: Mike Pompeo is a classic GOP war-hawk and neocon who manipulated Trump with flattery and some MAGA people with deceitful rh…","yes",85
"RT @chainbear: America be like ""And Verstappen is going for a title winning overtake on Hamilton!! but first!! - more ads!!""","yes",86
"RT @johnrich: If you still support Biden, you owe America an apology.","yes",87
"RT @JakeEvansGA: Congress desperately needs fighters who will stand up and take on the establishment!

I am running to flip GA-6 from BLUE…","yes",88
"@912olmos @eldipypapaok Me estas cargando flaco? O te cuesta entender consignas? Me estas mostrando gráficos donde comparas con países de América. Yo te hablo A NIVEL MUNDIAL. Además que siempre estuvimos al frente en Latam.","yes",89
"RT @npunwani: ""An agreement among the U.S., U.K., Australia, Japan, and India on hypersonics—along the lines of the recent Aukus agreement…","yes",90
"RT @MarleyK20: America can fast track everything but something for Black people.","yes",91
"RT @RottenInDenmark: I'm always baffled by people who act like dishwashers and McMansions make up for America's wildly more expensive housi…","yes",92
"RT @DonNorcross4NJ: While Congressional Republicans spent $1.9 trillion on tax giveaways for the rich, Democrats in Congress are investing…","yes",93
"RT @TheRightMelissa: BREAKING: Mike Lindell is suing voting systems company, Smartmatic after they defamed &amp; tried to silence him. They are…","yes",94
"@AGJeffLandry Why are you trying to use your position as part of the government to suppress someone’s first amendment rights?

Why live in America if you despise the constitution so much?

Wouldn’t you feel more at home in Hungary or some other authoritarian country?","yes",95
"RT @harikondabolu: White people won’t believe racism has happened to POCs unless there is video, but expect us to believe Jesus is white, C…","yes",96
"RT @DefenseNigeria: This is how America reacted to Hillary Clinton losing the election. FIVE days of violent protests. Two Trump supporters…","yes",97
"Extreme religious Conservatives protect themselves from threats they create. Meanwhile in the modern world robotic warfare systems are being developed to reduce the moral and psychological burden of warfare. Is Boebert going to stop them or divide America?","yes",98
"RT @InnerVoltRock: Can I ask America an open question?

What’s up with whole families posing in front of Christmas trees with semi-automati…","yes",99
"RT @PabloIglesias: La política exterior española hacia  América Latina. Mi análisis en @C5N 👇🏻 https://t.co/plYiNcrFst","yes",100
"RT @Jim_Jordan: Real America wants safe cities, affordable gas, and freedom. 

Democrats gave us record crime, record inflation, and Fauci.","yes",101
"More coverage rolling in from the @CoreResponse charity auction in Miami where @metagoodnft @OnChainMonkey is creating an NFT that raised $200K for COVID relief in Latin America. Empowering real world good through crypto ✊🌴🌟@huuep @KiteVC @amandaterry @jorgeperezjr @AkbarHamid https://t.co/FLyOk5dV9h","yes",102
"@Breaking911 Biden selling America to putin","yes",103
"RT @JennWrenStanley: Student loans are America’s way of saying, “We don’t want a well-educated population.”","yes",104
"RT @DeanoJ14: We men shouldn't feel fortunate to be born male in the United States of America. But it sure is hard not to when you consider…","yes",105
"RT @ImALKatz: @apal0329 @johnpavlovitz The problem is we don't have a health CARE system in America, we have a health INSURANCE system. Not…","yes",106
"RT @Futurical: Ethiopia was, before America. Ethiopia will be, after America. A 3K+ civilisation cannot be undone by sanctions and a rebell…","yes",107
"RT @pcbrynn: It has been 22 years since the Columbine massacre, and the only solution America has come up with to respond to school shootin…","yes",108
"RT @RepBoebert: So it was confirmed today that Biden’s IRS targeting scheme will report information on 87 million Americans earning less th…","yes",109
"RT @SenSchumer: Breaking: We just confirmed Jessica Rosenworcel to be Chair of the @FCC

She's set herself apart as one of America’s leadin…","yes",110
"RT @kikxyaguila: 🚨🚨🚨Club America y antuna Han llegado a un acuerdo🚨🚨🚨 los dos están de acuerdo que chivas son unos  pendejos  muertos  y  g…","yes",111
"RT @ceciazul: URGENTE:
Hay matrimonio igualitario en Chile. Jornada histórica para los derechos en América Latina. Senado y Diputados lo ap…","yes",112
"RT @DeMemoria: 🥲Hace 30 años, en 1991, salió a la venta la edición Año 1 No. 1 de 'Club Nintendo'. 

🇲🇽De origen mexicano, Club Nintendo fu…","yes",113
"RT @POTUSThump: Set your alarms, KAMEN AMERICA VOLUME 4 and OMNIBUS goes to INDIEGOGO tomorrow at 10 AM CST! EVERYTHING is LIMITED, so make…","yes",114
"RT @Neoavatara: You can't fix stupid. @AOC

https://t.co/bd1Vqdijup","yes",115
"@JMarie_America @anne_cereda Same. Rules in Pelosi household","yes",116
"RT @CupofJoeintheD2: @Jimoday1 @ChrisDJackson The #Trump Minions all have the same plan and the Committee is allowing it to happen!!! Makin…","yes",117
"@redsteeze This is a disgrace. Government “shaping” the news.

This is why trusting the news media is a colossal mistake.

The clown show economic “policies” are killing America.","yes",118
"@DonaldJTrumpJr SloJoe says, Putin, if you invade the Ukraine, we will hit you with devastating economic sanctions.  Oh, and by the way, could you pump more oil, we're a little short here in America...","yes",119
"RT @Reemzestilo: You can’t convince me there an Everton fan living in the United States of America","yes",120
"RT @KevzPolitics: JUST IN - Barbados PM Mia Amor Mottley named Champion of the Earth - United Nations' highest environmental honour; she wo…","yes",121
"RT @waltshaub: It’s interesting to watch fascists in America celebrate a day that commemorates our entry into a war against authoritarians,…","yes",122
"RT @RobSchneider: CNN is America’s Pravda and Tass.","yes",123
"RT @SeriesTWBZ: O roteiro de ""Corra!"" foi eleito como o melhor do século XXI pelo Sindicato dos Roteiristas da América.

🗞️ Collider https:…","yes",124
"@kristy_clueless Bright lights of America- Anti Flag, or New Maps of Hell-Bad Religion","yes",125
"RT @ASUNVolleyball: Congrats to @FGCU_VB's Erin Shomaker on being named to the @AVCAVolleyball NCAA Division I Southeast All-Region Team‼️👏…","yes",126
"So much for all the fear-mongering about them slowing down

https://t.co/lIE9N2S7vc","yes",127
"RT @UyDeporte: 🏀La selección uruguaya de básquetbol en silla de ruedas debutará hoy en el Sudamericano que se disputará en Buenos Aires y s…","yes",128
"RT @TeamPelosi: Everyone in the US has close, free access to vaccines and boosters and to scientific guidance to keep safe from COVID. Unem…","yes",129
"RT @JusticeThomas: Justice Thomas on why America is worth fighting for. #CTwisdom https://t.co/rKeWJtV1uE","yes",130
"RT @SenSchumer: Breaking: We just confirmed Jessica Rosenworcel to be Chair of the @FCC

She's set herself apart as one of America’s leadin…","yes",131
"RT @amconmag: NEW: ""I am leading a bipartisan effort to end America’s complicity in Saudi Arabia’s war on the Yemeni people. This week, I w…","yes",132
"@USATODAY Wtf they just wanted to rest. How did ya all make it abt their country politics suicidal rate economic effect agricultural impact nd all. Till the next time an American artist has a cb should I blame on the divorce rates in America?!?","yes",133
"RT @tzimmer_history: An urgent reminder by @perrybaconjr: America’s slide into authoritarianism is continuing – it has actually accelerated…","yes",134
"RT @ProjectLincoln: As President Roosevelt made clear 80 years ago today, when America is threatened, she will not back down — she will win…","yes",135
"RT @amconmag: NEW: ""I am leading a bipartisan effort to end America’s complicity in Saudi Arabia’s war on the Yemeni people. This week, I w…","yes",136
"RT @MEPFuller: My “I Am Why We Don’t Need to Teach America’s Racist History” T-Shirt seems to be having the opposite effect of what I inten…","yes",137
"@billoxenford 
My fellow Patriot please follow me and let's fight to save America","yes",138
"RT @geekversez: Animações com os melhores roteiros do século XXI, segundo o Sindicato dos Roteiristas da América:

• Divertida Mente
• Up:…","yes",139
"RT @straterize: their managers literally had bets on their lives as they got sick and died, maybe that’s why there aren’t so many chiccy te…","yes",140
"RT @Jim_Jordan: Real America wants safe cities, affordable gas, and freedom. 

Democrats gave us record crime, record inflation, and Fauci.","yes",141
"RT @Jim_Jordan: Real America wants safe cities, affordable gas, and freedom. 

Democrats gave us record crime, record inflation, and Fauci.","yes",142
"RT @SpeakerPelosi: Eighty years ago, the infamous attack at Pearl Harbor killed over 2,400 beautiful patriots, thrust America into a world…","yes",143
"RT @realArmandKlein: 🇺🇸🇺🇸🇺🇸Remembering Pearl Harbor December 7 1941🇺🇸🇺🇸🇺🇸 On This 80 Anniversary ,We Remember Pearl Harbor. We Remember 240…","yes",144
"@shannonrwatts @washingtonpost Why isn't gun license considered something similar to driving license in America? Are Americans nuts?","yes",145
"#sustainabledevelopmentgoals #inclusionanddiversity #greenfinance 

Bank of America Issues $2B #sustainability Bond Targeting Equality, Economic Opportunity and Green Investments

“#ESG-themed securities are scaling finance to cri…https://t.co/e8XDCyWD5G https://t.co/LzCFhxUzGj","yes",146
"RT @ceciazul: URGENTE:
Hay matrimonio igualitario en Chile. Jornada histórica para los derechos en América Latina. Senado y Diputados lo ap…","yes",147
"REMEMBER PEARL HARBOR
AND THE GREATEST GENERATION IN OUR HISTORY
GOD BLESS AMERICA
GOD BLESS OUR VETERANS https://t.co/OKOnqKJfgl","yes",148
"RT @HotepJesus: Never forget!

America knew in advance that Pearl Harbor was a target and presented it as a target to force America into WI…","yes",149
"RT @ZODI_Apure: #7Dic de 1824, Bolívar convocaba desde Perú, el Congreso de Panamá, invitando a los Gobiernos de la América meridional, a e…","yes",150
"RT @WhiteHouse: Dr. Lee Savio Beers, President of the American Academy of Pediatrics, answers questions about the COVID-19 vaccine for kids…","yes",151
"RT @12Dohlicious: They say, Kyungsoo is irrelevant but Kyungsoo brought the name EXO on overseas TV, ABC News America 😌  https://t.co/cMsQI…","yes",152
"RT @crookedroads770: They say America is the land of opportunity but when’s the last time you had the opportunity to eat a schnitzza https:…","yes",153
"RT @gnfbleeds: you don’t DECIDE to be gay. one day velvet just makes a tweet saying “you are gay” and that’s when you know. that’s bidens a…","yes",154
"RT @SenSchumer: Breaking: We just confirmed Jessica Rosenworcel to be Chair of the @FCC

She's set herself apart as one of America’s leadin…","yes",155
"Evangelicals &gt; far right in general &gt; Republicans.  Evangelicals do not negotiate or honor others, since they are doing God's work.
#Republicans need the cultural wedge issues to divide &amp; conquer.
And resonable republicans &amp; America are SOL (ShitOuttaLuck)
Am I wrong?","yes",156
"UFSC promove palestra virtual sobre integração da educação superior na América Latina e Caribe https://t.co/9CXdxmKDg0","yes",157
"RT @Gritty20202: This is America. https://t.co/RQOwmVheni","yes",158
"@USEmbassyAddis Don't hear 1 million daispora ethiopian are on the way to ethiopia from America And Europe. Ur BS statment is nonsense. Yankees pls leave Ethiopia","yes",159
"RT @harrisonjaime: When you try your best to look good in your 🤡 performance for the 🎪 circus ringmaster. 

If you loved America, you sure…","yes",160
"RT @USSArizona: At this moment 80 years ago, the United States of America comes under attack by the Empire of Japan. #PearlHarbor80 #Rememe…","yes",161
"@MFDrew Yeah probably wise move, super interesting what they do with the expansion. Maybe North America?","yes",162
"And Angier Biddle Duke, former U.S. chief of protocol and scion of one of America's most aristocratic families, helped Sasakawa set up the U.S.-Japan Foundation and served as its first chairman, current foundation officials say.","yes",163
"O brasil e creio q toda america do sul é @TeamVikings hoje, receba nossas energias positivas pra conquistar essa vaga, vcs tem potencial e independente de todo, ja estamos muito orgulhosos

#GOVKS #VALORANTChampions https://t.co/dTELXm0ORr","yes",164
"RT @JuliaMorales: Baseball America announced today that Astros manager Dusty Baker has been named their 2021 Manager of the Year.","yes",165
"@aviator_naval sadly, I believe you are right.  @BarackObama always hated &amp; resented @POTUS Biden for his ""white privilege"" &amp; his incompetence. Everyone in DC KNEW he was an incompetent, racist, liar. Like Barack, Joe was PLACED in the Presidency. God save America from this evil. https://t.co/euitqbYSlJ","yes",166
"RT @RTultimahora: ÚLTIMA HORA: 
Chile aprueba el matrimonio igualitario y se convierte en el séptimo país de América Latina en reconocer es…","yes",167
"RT @ALshrogey12_313: He did not surrender America's weapon and the hatred of the Arabs, even the fetus in his 
mother's belly.
#سلاح_امريكا…","yes",168
"@burgessev https://t.co/OBaskf6ko5","yes",169
"December 7, 1941 – “A date which will live in infamy...”
A day we honor #PearlHarbor heroes who gave it all on behalf of our nation, and those who continued to fight for America. My late father, Bill, proudly served in the @USNavy in the Pacific Theater.
 https://t.co/s70Xhp0vO4","yes",170
"RT @SonyxB: The British High Commission in Abuja, Human Rights, Amnesty International, Amnesty America: FREE MAZI NNAMDI KANU - Sign the Pe…","yes",171
"RT @JoshMandelOhio: Saving America will happen in churches, not Washington DC.","yes",172
"RT @Right_NotLeft: Having an ailing old man with dementia as the face of America is super embarrassing. 😑","yes",173
"We got the Mueller report...nothing happened or changed...we got two impeachments...nothing happened nothing changed...we now have the 1/6 committee and nothing will happen or change...

A pattern of fraud and incompetence built on procedure and gibberish.

America sucks.","yes",174
"RT @RafaDato2: Tigres vence 4-0 a Cruz Azul y elevan a 40 su invicto (33V y 7E), la mayor racha de la Liga MX Femenil y la Primera División…","yes",175
"RT @KFartx: America's Next Top Yodel https://t.co/UldplsuPC4","yes",176
"RT @tanjamaier17: Odd EU health ministers are doing in person meetings to discuss a highly transmissible new variant as if Zoom doesn’t wor…","yes",177
"RT @PopulismUpdates: I actually think a big-tent, radical reform-focused anti-establishment party could be fabulously successful in America…","yes",178
"@TGosawich @brianlilley @JustinTrudeau Following evidence. Have a look at America and then tell me how mandatory minimum sentences are effective.","yes",179
"@Bellamari8mazz @FireBallNPizza @keith0sta @11Kit2 @TheRebeluniter @JuniorM0331 @MP4USA @4Mischief @Randyebuckleyg1 @DoraDallas6 @BadOctavia13 @LillyRose_bh @PAYthe_PIPER @PUREB007 @BruceChambers @trump4_america @JDugudichi @nola1107 @FM_NoAlgos @aingelgrl @qfd_bruce @Q888Jjfv Followed and RT all.","yes",180
"RT @JesseKellyDC: A day to remember. Frankly, a day that should still make people angry in America and Japan. One for the sucker punch that…","yes",181
"@Jim_Jordan Fauci is a war criminal, God Bless America on this meme rial day! Let’s go Brandon!","yes",182
"Q: Why not make rapid tests free in America, especially around the holidays.  A (Zients): We beleive the most efficient and effective appraoch is more nuamnced than that.  We will continue to increase the  access to free tests to everyone in America. #coronavirus","yes",183
"RT @RoadtoRoota: Why did Bank of America RETURN their Leased Silver back to JP Morgan via the COMEX?
 
Was it all just for show?
 
SOOO DAR…","yes",184
"RT @RamnMonte1: #Cuba ocupa hoy el primer lugar en América Latina y el tercero en el mundo en la inmunización antiCovid-19 con el 83 por ci…","yes",185
"RT @bopinion: In the 2000s, the growing ubiquity of bank branches was one of America’s great retailing puzzles. 

Online banking was on the…","yes",186
"@LynnWil66185346 @JMarie_America https://t.co/mUlJbkItT8","yes",187
"@stevens42069 I’m not sure how one defines “middle America.” I define it as the middle class- and I feel like as a member, I can speak to this group…","yes",188
"RT @tatumreport: December 7 will forever be a day of Infamy for The United States Of America. Today we take a moment to reflect on all the…","yes",189
"RT @USSArizona: At this moment 80 years ago, the United States of America comes under attack by the Empire of Japan. #PearlHarbor80 #Rememe…","yes",190
"RT @VandeveldeWim: ""They are just giving us the crumbs from their table. The greed they demonstrated was disappointing, particularly when t…","yes",191
"RT @Jim_Jordan: Real America wants safe cities, affordable gas, and freedom. 

Democrats gave us record crime, record inflation, and Fauci.","yes",192
"RT @brent_allen94: America’s greatest ally: https://t.co/K2qA5IxRm3","yes",193
"RT @Hevo26: @GovRonDeSantis @ChrisSprowls DON'T KILL HIM PURPOSELY.He is INNOCENT 💔 All the Evidence presented to the court was all lies..H…","yes",194
"América de Cali el recuerdo de la estrella 14 en 2019 https://t.co/wf8kaYWvi1","yes",195
"RT @TIME: ""Black World War II veterans were largely excluded from the GI bill that created America's middle class. It's time to rectify tha…","yes",196
"RT @Consenso15: Noticion:
La vacunación obligatoria ha sido bloqueada en todos los Estados Unidos de América. https://t.co/LVBP1BUoV2","yes",197
"I read something interesting recently that black people used to celebrate the 4th of July on the 5th as a protest to the failed promises of America.","yes",198
"RT @JesseKellyDC: A day to remember. Frankly, a day that should still make people angry in America and Japan. One for the sucker punch that…","yes",199
"RT @RepAndyLevin: Wishing a happy 66th birthday to the @AFLCIO! The labor movement’s fight to secure dignity, democracy and safety in the w…","yes",200
"RT @USSArizona: At this moment 80 years ago, the United States of America comes under attack by the Empire of Japan. #PearlHarbor80 #Rememe…","yes",201
"FLIP pide al Congreso eliminar ‘mico’ en la ley anticorrupción que afectaría la libertad de prensa https://t.co/4oh9Svcqw7","yes",202
"RT @Sites4Congress: I served this country in the US Army.

I believe in America, and the common bonds that hold all Americans together.

An…","yes",203
"RT @Truthse14046364: @clairecmc Investigate Kavanagh &amp; Acb, expands Supreme Court &amp; end the FILIBUSTER if this is not done.....AMERICA &amp; DE…","yes",204
"RT @Codie_Sanchez: I wasn’t into investing until I worked at Goldman.
Wasn’t into Latin America until I built there. 
Wasn’t into cannabis…","yes",205
"RT @PinkNews: America's first out trans mayor Stu Rasmussen, who won hearts by breaking down barriers, dies at 73 https://t.co/PSkXvO2eW5","yes",206
"RT @SenSchumer: Breaking: We just confirmed Jessica Rosenworcel to be Chair of the @FCC

She's set herself apart as one of America’s leadin…","yes",207
"RT @Pleightx: @PaulLeeTeeks That's crap. America is more fearful of sex aids than actual weapons that can kill and maim hundreds of people.","yes",208
"RT @jiggyjayy2: you don't experience colorism so for you to say tired of hearing about it like ppl suppose to shrug it off? And then deduci…","yes",209
